Vrid,Vdatesub,State,AgencyType,AgencyTypeSimp,ParentAgency,Q1,Q1spec,Q2,Q3,Q4,A1,A1a,A1b,A1c,A1d,A2,A2_1spec,A2_95spec,A3,A4,A4a,A4a_spec,A5a,A5b,A5c,A5d,A5e,A5f,A5g,A5h,A5i,A5j,A5k,A5l,A5lspec,A6a,A6b,A6c,A6d,A6e,A6f,A6g,A6h,A6i,A7,A7a,A8,A9a_1,A9a_2,A9a_3,A9b_1,A9b_2,A9b_3,A9c_1,A9c_2,A9c_3,A9d_1,A9d_2,A9d_3,A9e_1,A9e_2,A9e_3,A9f_1,A9f_2,A9f_3,A9g_1,A9g_2,A9g_3,A9h_1,A9h_2,A9h_3,A9i_1,A9i_2,A9i_3,A9i_spec,A10a,A10b,A10c,A10d,A10e,A10f,A10g,A10h,A10i,A10j,A10k,A10l,A10m,A10n,A10o,A10p,A10q,A10q_spec,B1a,B1b,B1c,B1d,B1e,B1f,B1g,B2,B2spec,B3a,B3b,B3c,B3d,B3e,B4,B4spec,B5,B5spec,B6a,B6b,B6c,B6d,B7,B7spec,B8,B8spec,B9_1,B9_2,B9_3,B9_4,B9_5,B9_95,B9_3spec,B9_4spec,B9_5spec,B10_1,B10_2,B10_3,B10_4,B10_5,B10_95,B10_4spec,B10_5spec,B11,B11spec,B12,B12spec,B13,B14,B14spec,B15,B15spec,B16,B16_1spec,B16a,B17a,B17b,B17c,B17d,B17e,B18,B18spec,C1_1,C1_2,C1_3,C1_4,C1_5,C1_6,C1_7,C1_8,C1_9,C1_10,C1_11,C1_95,C1_96,C1_95spec,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_95,C2_96,C2_95spec,C3_1,C3_2,C3_3,C3_4,C3_5,C3_6,C3_7,C3_8,C3_9,C3_10,C3_11,C3_95,C3_96,C3_95spec,C4_1,C4_2,C4_3,C4_4,C4_5,C4_6,C4_7,C4_8,C4_9,C4_10,C4_11,C4_95,C4_96,C4_95spec,C5_1,C5_2,C5_3,C5_4,C5_5,C5_6,C5_7,C5_8,C5_9,C5_10,C5_11,C5_95,C5_96,C5_95spec,C6_1,C6_2,C6_3,C6_4,C6_5,C6_6,C6_7,C6_8,C6_9,C6_10,C6_11,C6_95,C6_96,C6_95spec,C7_1,C7_2,C7_3,C7_4,C7_5,C7_6,C7_7,C7_8,C7_9,C7_10,C7_11,C7_95,C7_96,C7_95spec,C8_1,C8_2,C8_3,C8_4,C8_5,C8_6,C8_7,C8_8,C8_9,C8_10,C8_11,C8_95,C8_96,C8_95spec,C9_1,C9_2,C9_3,C9_4,C9_5,C9_6,C9_7,C9_8,C9_9,C9_10,C9_11,C9_95,C9_96,C9_95spec,C10_1,C10_2,C10_3,C10_4,C10_5,C10_6,C10_7,C10_8,C10_9,C10_10,C10_11,C10_95,C10_96,C10_95spec,D1,D2,D2spec,D3,D3spec,D4,D4spec,D5,D5spec,D5a,D5aspec,D6,D6spec,D7,D7spec,D8,D8spec,D9,D9spec,D10,D10spec,D11,D11spec,D12,D12spec,D13,D13spec,D14,D14spec,D15,D15spec,D16,D16spec,D17,D17spec,D17a,D17b,D17c,D17d,D18_1,D18_2,D18_3,D18_4,D18_5,D18_6,D18_7,D18_95,D18_96,D18_95spec,D19_1,D19_2,D19_3,D19_4,D19_5,D19_95,D19_96,D19_95spec,D20,D20a,D20b,D20bspec,D21,D21a,D21b,D21bspec,D22,D22a,D22b,D22bspec,D23,D23a,D23b,D23bspec,D24,D24a,D24b,D24bspec,D25,D25a,D25b,D25bspec,D26,D26a,D26b,D26bspec,D27,D27spec,D27a,D27b,D27b_1spec,D28,D29_1,D29_2,D29_3,D29_4,D29_5,D29_95,D29_96,D29_95spec,D30,D30_1spec,D31
74,9/7/11,AK,3,1,1,1,-7,3.5,26,26,2,Alaska Division of Vocational Rehabilitation,Alaska Department of Labor and Workforce Development,Director,Commissioner,1,Governor,-7,Commissioner,2,-7,-7,1,3,3,3,3,3,2,3,3,3,2,1,State ADA Office,1,3,1,1,99,99,1,3,1,1,"There are 11 Projects: Aleutian Pribilof Island Association, Inc; Association of Village Council Presidents; Bristol Bay Native Assoc; Central Council Tlingit & Haida Indian Tribes of Alaska; Cook Inlet Tribal Council, Inc; Inupiat Community of the Arctic Slope; Kawerak, Inc; Kodiak Area Native Association; Maniilaq Association (Native Village of Kotzebue); Metlakatla Indian Community; Tanana Chiefs Conference;",126,-9,-7,-7,26,-9,-9,-9,-7,-7,-9,-7,-7,-9,-7,-7,-9,-7,-7,-9,-7,-7,-9,-9,-7,-9,-7,-7,-7,0,-9,-9,-9,0,0,0,0,-9,0,0,0,1,-9,0,0,0,-9,1,1,1,1,1,1,1,1,-7,1,1,1,1,1,1,-7,1,-7,1,1,1,1,1,-7,1,-7,0,0,1,0,0,0,Customized Employment,-7,-7,0,0,0,1,0,0,Social Security Reimbursements,-7,1,-7,1,-9,1,1,-7,1,-7,2,-7,-7,1,1,1,1,1,1,-7,0,0,0,1,1,1,1,1,1,1,1,0,0,-7,0,0,0,0,0,1,0,1,0,0,1,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,1,0,0,0,0,0,0,0,0,1,0,IAVRS grantees,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,47,2,-7,2,-7,1,100,2,-7,-7,-7,2,-7,2,-7,2,-7,3,-7,1,1,2,-7,3,-7,2,-7,2,-7,3,-7,2,-7,2,-7,-7,-7,-7,-7,1,1,0,0,1,0,0,0,0,-7,0,0,0,1,0,0,0,-7,2,1,-7,-7,1,1,2,-7,1,1,2, ,2,-9,-7,-7,2,-7,-7,-7,1,1,2,-7,2,-7,-7,-7,2, ,-7,-7,-7,2,0,0,0,0,0,0,1,-7,2,-7,-9
67,9/7/11,AL,3,1,4,2,Deputy Commissioner,1.6,32,32,1,Alabama Department of Rehabilitative Services,-7,Commissioner,-7,1,ADRS Board,-7,ADRS Board,2,-7,-7,3,3,3,3,3,3,3,3,3,3,3,3,-9,1,1,1,1,3,3,1,3,1,2,-7,424.1,3,-9,-9,-9,-7,-7,7,-9,-9,1,-7,-7,34,-9,-9,424,424,-9,4,-9,-9,2.5,-9,-9,-9,-7,-7,-7,3,53,17,35,-9,-9,1,6,5,-9,7,8,112,4,-9,-9,-9,-7,1,1,1,1,1,1,1,1,-7,1,1,1,1,1,1,-7,1,-7,1,1,1,1,1,-7,1,-7,1,1,0,1,0,0,-7,TANF,-7,0,0,0,1,0,0,"LEAs,AIDB,TANF",-7,1,-7,-9,-7,1,1,-7,1,-7,1,"Grace Duffy, American Society for Quality, Continuous Quality Improvement",2,1,1,1,1,1,1,-7,1,0,1,1,1,1,1,1,1,1,1,1,0,Alabama Institute for Deaf and Blind,0,0,0,0,0,0,0,0,0,0,0,1,0,Private Non-Profit Agencies,0,0,0,1,0,0,0,0,0,0,0,1,0,Community Rehabilitation Programs,0,0,1,1,0,0,1,1,0,1,1,1,0,Alabama Institute for Deaf and Blind,0,0,1,0,0,0,0,1,0,0,0,1,0,Alabama Institute for Deaf and Blind,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,1,0,0,0,0,1,0,Unemployment Compensation,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,234,2,-7,2,-7,2,-7,2,-7,-7,-7,2,-7,1,Federal Minimum Wage,2,-7,2,-7,3,-7,2,-7,3,-7,2,-7,3,-7,3,-7,2,-7,2,-7,-7,-7,-7,-7,0,1,0,0,1,0,0,0,0,-7,1,0,0,0,0,0,0,-7,2,-7,-7,-7,1,1,2,-7,2,-7,-7, ,2,-9,-7,-7,1,1,2,-7,1,1,2,-7,2,-7,-7,-7,2, ,-7,-7,-7,3,0,0,0,0,0,1,0,Private Non-Profit Agencies,2,-7,"VR is a Division of the Department of Rehabilitation Services which also includes:  Blind and Deaf Services, Childrens Rehabilitation Services, Homebound, Waiver and IL Services, Early Intervention Services(infants and toddlers) and Hemophilia Services.  The Commissioner of the Department is also the State Director of VR Services."
159,9/7/11,AR,1,1,4,1,-7,6,6,6,1,Arkansas Rehabilitation Services,-7,Commissioner Arkansas Rehabilitation Services,-7,1,Director of Arkansas Department of Career Education,-7,Director of Arkansas Department of Career Education,2,-7,-7,3,3,3,3,3,3,3,3,3,3,3,3,-9,1,3,3,3,3,99,3,99,1,2,-7,449.475,-9,-7,-7,-9,-7,-7,-9,-7,-7,-9,-7,-7,-9,-7,-7,449.475,449.5,-9,-9,-7,-7,-9,-9,-7,38.8,-9,38.8,"ICAN,AKDC,TAP,Indirect Cost Pool",0,0,9,1.8,0,0,0,0,0,0,0,0,6,2,0,0,0,-9,1,1,1,1,1,1,1,1,-7,1,1,1,1,1,1,-7,1,-7,1,1,1,1,1,-7,1,-7,0,0,1,0,0,0,"ICAN Grant (Assistive Technology Grant), Carl D. Perkins Subgrant",-7,-7,0,0,1,0,0,0,-7,-7,1,-7,1,Leadership Group provides strategic planning on an annual and quarterly basis,1,1,-7,1,-7,2,-7,-7,1,1,1,1,1,1,-7,0,0,1,0,1,1,1,1,0,0,0,1,0,"Worker's Comp, Arkansas Department of Career Education (Career Tech and Adult Ed)",0,1,0,0,1,1,0,1,0,0,0,1,0,Easter Seals et al,0,0,0,0,0,0,0,0,0,0,0,1,0,Arkansas Spinal Cord Association,0,0,0,0,0,1,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,1,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,1,0,Arkansas Division of Services for the Blind,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,1,0,0,0,0,0,1,0,Arkansas Division of Services for the Blind,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,82,3,-7,1,100,2,-7,2,-7,-7,-7,2,-7,2,-7,2,-7,3,-7,2,-7,3,-7,2,-7,2,-7,2,-7,3,-7,2,-7,2,-7,-7,-7,-7,-7,0,1,0,0,0,0,0,0,0,-7,1,0,0,0,0,0,0,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7, ,2,-9,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2, ,-7,-7,-7,2,0,0,0,0,0,0,1,-7,2,-7,ARS is currently in discussions to braid our SE services with the Medicaid Waiver program and Developmental Disability Services
39,8/25/11,AS,3,1,3,1,-7,22,25,25,2,American Samoa Office of Vocational Rehabilitation,Governor of American Samoa,Administrator,GOVERNOR OF AMERICAN SAMOA,2,-7,-7,GOVERNOR OF AMERICAN SAMOA,2,-7,-7,3,3,3,3,3,3,3,3,3,3,3,3,-9,1,3,1,1,99,99,99,3,1,2,-7,14,2,-9,-9,-9,-7,-7,4,-9,-9,3,1,-9,-9,-7,-7,14,14,-9,-9,-7,-7,-9,-7,-7,1,-7,1,DEVELOPMENTAL DISABILITY PROGRAM CASEMANAGEMENT,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-9,1,1,1,3,1,1,1,95,Department of Human Services,1,1,1,1,1,1,-7,1,-7,2,2,1,1,2,-7,1,-7,0,0,1,1,0,0,Assistive Technology,COMMUNITY SERVICES BLOCK GRANT,-7,0,0,1,0,0,0,-7,-7,1,-7,1,STRATEGIC PLANNING IS A COLLABORATION EFFORT WITH SRC,2,95,-9,95,-9,2,-7,-7,1,1,1,1,1,1,-7,0,0,0,1,1,1,1,1,1,0,0,0,0,-7,0,0,0,1,1,1,0,0,1,0,0,1,0,GOODWILL INDUSTRIES OF AMERICAN SAMOA,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,1,0,0,0,1,0,0,0,0,-7,0,0,0,1,1,1,0,0,1,0,0,1,0,"CAP, DDPC, COMMUNITY COLLEGE",0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,8,2,-7,2,-7,2,-7,2,-7,-7,-7,2,-7,2,-7,3,-7,3,-7,3,-7,2,-7,2,-7,2,-7,2,-7,3,-7,2,-7,2,-7,-7,-7,-7,-7,0,0,0,0,0,0,1,0,0,-7,0,0,0,0,1,0,0,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7, ,2,-9,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2, ,-7,-7,-7,3,0,0,0,0,0,0,1,-7,2,-7,"NO.  HOWEVER IF THERE ARE ANY QUESTIONS THAT ARE UNCLEAR, PLEASE CONTACT OUR OFFICE AT YOUR CONVENIENCE."
31,9/7/11,CA,3,1,4,1,-7,3.5,5.5,5.5,1,California Department of Rehabilitation,-7,Director,-7,1,Governor,-7,CA Health & Human Services Secretary,2,-7,-7,3,3,3,3,3,3,3,3,3,3,3,3,-9,1,1,1,1,3,3,1,3,1,1,The four 121 Programs in CA,1883,1,1,-7,-9,-7,-7,7,6.3,0.7,1,1,-7,28,22.12,5.88,1846.4,1458.656,387.744,-9,-7,-7,-9,-7,-7,-9,-7,-7,-7,0,107,0,50,0,0,0,4,0,0,0,5,0,0,0,2,0,-9,3,3,1,1,1,1,1,1,-7,1,1,3,3,1,1,-7,1,-7,1,1,1,1,1,-7,1,-7,0,0,1,0,0,0,"In service training,",-7,-7,0,0,1,1,0,0,Social Security Reimbursement,-7,1,-7,1,"Executive Leadership of the DSU, through facilitated discussions, developed a strategic plan based upon Mission and Goals, Core Values and critical resource considerations.  Ongoing feedback received through internal and external stakeholder input was con",1,1,-7,1,-7,2,-7,-7,1,1,1,1,1,1,-7,0,0,1,1,1,1,1,1,0,0,0,0,0,-7,0,0,0,0,0,1,0,0,0,0,0,0,0,-7,0,0,1,1,1,0,0,1,0,0,0,1,0,Some ILCs,0,0,1,1,1,0,0,1,0,0,0,0,0,-7,0,0,1,1,1,0,0,1,0,0,0,0,0,-7,0,0,1,1,1,1,0,1,1,1,0,0,0,-7,0,0,1,1,1,1,1,1,1,0,1,1,0,ILCs,0,0,0,0,0,1,0,0,0,0,0,0,0,-7,0,0,1,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,1,0,0,0,0,0,0,0,-7,1804,2,-7,2,-7,2,-7,2,-7,-7,-7,2,-7,2,-7,2,-7,1,787,3,-7,1,917,3,-7,2,-7,3,-7,3,-7,2,-7,2,-7,-7,-7,-7,-7,1,1,1,1,1,1,1,0,0,-7,1,1,1,0,0,0,0,-7,1,1,2,-7,1,1,2,-7,2,-7,-7, ,1,1,2,-7,2,-7,-7,-7,1,1,2,-7,2,-7,-7,-7,2, ,-7,-7,-7,2,1,1,1,1,1,0,0,-7,2,-7,"In 2004 the Habilitation Services Program, which was a separate program under Department of Rehabilitation for purchasing SE extended services, was transferred to the California Department of Developmental Services and is now administered under their regional centers.   ‰Û¢	Extended services for consumers with mental health disabilities are provided in California through DOR's Collaborative Services section. SE extended services for this population are arranged on an individualized basis as needed by each consumer with a psychiatric disability.  Not all MH consumers need SE extended services.  When it is required, it is usually provided through the establishment of natural supports."
59,9/13/11,CO,3,1,3,1,-7,6,6,6,2,Colorado Division of Vocational Rehabilitation,Department of Human Services,Division Diector,Executive Director,2,-7,-7,Deputy Executive Director,2,-7,-7,2,3,2,3,2,3,3,2,2,2,3,-9,-7,3,3,1,1,99,3,1,99,1,1,Souther and Mountain Utes,250,-9,-7,-7,-9,-7,-7,1,1,-7,1,1,-7,5,5,-9,241,241,-9,-9,-7,-7,-9,-7,-7,-9,-7,-7,-7,0,15,15,10,4,0,25,10,0,0,0,4,15,4,0,0,-9,-7,3,1,1,1,1,1,1,1,-7,1,1,2,2,1,1,-7,2,-7,1,1,1,1,1,-7,1,-7,1,0,1,0,1,0,Migrant & Seasonal Farm Workers,-7,Subcntractor for SSA BOND - EWIC,1,0,1,1,0,0,School Districts & Dept. Of Ed.,-7,1,-7,2,-7,2,1,-7,1,-7,2,-7,-7,1,1,1,1,1,1,-7,0,0,1,1,1,1,1,1,1,1,1,0,0,-7,0,0,0,0,0,1,0,1,0,0,0,0,0,-7,0,0,0,0,0,1,1,1,0,1,0,0,0,-7,0,0,1,0,1,0,0,1,1,0,1,0,0,-7,0,0,0,0,0,1,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,1,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,1000,2,-7,2,-7,2,-7,2,-7,-7,-7,2,-7,1,prevailing state minimum wage or higher,3,-7,-9,-7,-9,-7,2,-7,-9,-7,2,-7,3,-7,-9,-7,3,-7,2,-7,-7,-7,-7,-7,1,1,0,0,0,0,0,0,0,-7,0,0,0,1,0,0,0,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7, ,2,-9,-7,-7,2,-7,-7,-7,1,2,2,-7,2,-7,-7,-7,2, ,-7,-7,-7,3,0,0,0,0,0,0,1,-7,1,"difficult to get for all 3 we see: MH, DD and TBI.",-9
12,2/9/11,CT,1,1,3,1,-7,1.5,12,18,2,Connecticut Bureau of Rehabilitation Services,Department of Social Services,Director,Commissioner,3,-7,-7,Deputy Commissioner,2,-7,-7,1,3,3,2,3,3,3,2,3,2,3,-9,-7,1,3,3,1,99,99,3,3,1,2,-7,269,1.5,0.375,1.125,118,-9,118,-9,-7,-7,-9,-7,-7,-9,-7,-7,134,132.66,1.34,4,-9,4,7.05,-9,100,4.5,-9,4.5,Medicaid Infrastructure Grant,7,0,10,14,0,0,0,1,0,0,0,0,7,0,4,0,-9,-7,1,3,1,1,1,1,1,1,-7,3,3,2,1,1,2,-7,1,-7,1,1,1,1,1,-7,1,-7,1,1,1,0,1,0,Money Follows the Person (CMS),-7,Benefit Offset Pilot Demonstration (SSA),1,0,1,0,0,0,-7,-7,1,-7,1,"We conduct a triennial needs assessment, and base our strategic priorities on the findings.  Performance evals are aligned with the goals, includ",1,1,-7,1,-7,2,-7,-7,1,1,1,1,1,1,-7,0,0,1,1,0,1,0,1,0,1,1,0,0,-7,0,0,0,0,0,1,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,1,0,0,0,1,1,0,Medicaid Agency (DSA),0,0,0,1,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,1,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,1,0,1,0,0,0,0,0,-7,0,0,0,0,0,1,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,1,0,VR Program for Individuals who are Blind or Visually Impaired,0,0,0,0,0,0,0,0,0,0,0,1,0,VR Program for individuals who are Blind or Visually Impaired,0,0,0,0,0,0,0,0,0,0,0,1,0,VR Program for individuals who are blind or visually impaired,109,2,-7,2,-7,2,-7,1,Ticket to Work supports,2,-7,2,-7,1,minimum wage,2,-7,1,109,1,0,2,-7,3,-7,2,-7,2,-7,3,-7,2,-7,1,State Funded Employment Opportunities Program,state funding,1200000,284,all disability populations,1,1,1,0,0,0,0,1,0,"Employers, IL Centers",0,1,0,0,0,0,0,-7,1,1,2,-7,1,1,2,-7,1,1,2, ,1,1,2,-7,2,-7,-7,-7,1,1,2,-7,2,-7,-7,-7,1,Ticket to Work supports,1,2,-7,1,0,1,0,1,1,1,0,Department of Social Services Employment Opportunities Program,2,-7,-9
104,8/25/11,CT,2,2,4,2,VR supervisor,9,9,9,1,Connecticut Board of Education and Services for The Blind,-7,Executive Director,-7,1,Governor,-7,Governor of the State of CT,2,-7,-7,3,3,3,3,3,3,3,3,3,3,3,-9,-7,3,3,1,1,99,3,1,99,1,1,Mashantucket Pequot,26,-9,-7,-7,-9,-7,-7,1,-7,1,-9,-7,-7,12,-9,12,26,26,-9,-9,-7,-7,-9,-7,-7,-9,-7,-7,-7,0,26,0,0,0,0,0,0,2,0,0,1,1,0,0,0,-9,-7,3,1,3,1,1,3,1,95,-9,3,3,1,1,1,95,-9,1,-7,1,1,1,1,1,-7,1,-7,0,0,1,0,0,0,"Inservice Training Grant, Supported Employment and Independent Living/Older Blind",-7,-7,0,0,0,1,0,0,Stimulus/ARRA funds,-7,1,-7,1,Committee made up of agency staff as well as consumers,1,1,-7,1,-7,2,-7,-7,1,3,3,1,1,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,1,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,1,0,Department of Social Services,2,2,-7,2,-7,2,-7,1,follow along services,2,-7,2,-7,2,-7,3,-7,3,-7,3,-7,3,-7,2,-7,2,-7,2,-7,3,-7,2,-7,2,-7,-7,-7,-7,-7,0,1,1,1,1,1,0,0,0,-7,1,1,0,0,0,0,0,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7, ,2,-9,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2, ,-7,-7,-7,2,0,0,0,1,1,0,0,-7,1,-9,-9
119,8/25/11,DC,3,1,5,1,-7,2,2,35,2,District of Columbia Rehabilitation Services Administration,District of Columbia Department of Disability Services,Deputy Director Department on Disability Services,Director Department on Disability Services,3,-7,-7,Director Department on Disability Services,1,1,Move from Department of Human Services to newly created Department on Disability Services,2,3,2,3,3,3,3,3,3,3,3,3,-9,3,3,1,1,99,99,1,99,1,2,-7,116,-9,-7,-7,-9,-7,-7,-9,-7,-7,-9,-7,-7,-9,-9,-7,-9,-9,-7,-9,-7,-7,-9,-9,-7,-9,-7,-7,-7,1,7,6.5,4.5,0,0,0,0,0,0,0,0,9,1,0,0,0,-9,2,2,1,1,1,1,1,2,-7,2,2,2,1,1,2,-7,2,-7,2,1,1,1,1,-7,1,-7,1,0,0,0,0,0,-7,-7,-7,0,0,0,0,0,1,-7,-7,1,-7,2,-7,2,1,-7,1,-7,2,-7,-7,1,1,1,1,1,1,-7,0,0,1,0,1,1,0,1,0,0,0,0,0,-7,0,0,0,0,0,1,0,1,0,0,0,0,0,-7,0,0,0,1,1,1,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,150,1,100,1,29,1,-9,1,Mental Health and Developmental Disability,1,71,2,-7,1,8.25,1,150,1,150,3,-7,2,-7,2,-7,2,-7,3,-7,1,25,1,5,2,-7,-7,-7,-7,-7,0,1,1,0,0,0,0,0,0,-7,1,0,0,0,0,0,0,-7,2,-7,-7,-7,2,-7,-7,-7,1,1,1,45,1,1,1,105,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2, ,-7,-7,-7,2,0,1,0,0,1,0,0,-7,2,-7,-9
27,9/14/11,DE,1,1,1,1,-7,14,14,14,1,Delaware Division of Vocational Rehabilitation,-7,Director DVR,-7,1,Secretary / Governor,-7,Secretary of Labor,2,-7,-7,1,3,3,3,3,3,3,3,3,3,3,-9,-7,3,3,3,1,3,3,3,3,1,2,-7,137,-9,-7,-7,55,-9,55,2,2,-9,-9,-7,-7,-9,-7,-7,78,78,-9,-9,-7,-7,-9,-9,-7,-9,-7,-7,-7,1,0,0,4,0,0,3,4,0,0,3,0,10,0,0,0,-9,-7,1,1,1,1,1,1,1,1,-7,1,1,1,1,1,1,-7,1,-7,1,1,1,1,1,-7,1,-7,0,1,1,0,0,0,Navigator,-7,-7,0,0,1,0,0,0,-7,-7,1,-7,2,-7,2,1,-7,1,-7,1,The Department of Labor participation with Baldrige ended about five years ago.,-9,1,1,1,1,1,1,-7,1,0,1,0,1,1,1,1,0,0,1,0,0,-7,0,0,0,0,0,1,0,1,0,0,0,0,0,-7,0,0,1,0,0,0,1,0,0,0,0,0,0,-7,0,0,1,0,0,1,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,1,0,1,0,0,0,0,0,-7,1,0,1,0,1,1,0,1,0,0,1,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,75,2,-7,2,-7,1,100,2,-7,-7,-7,2,-7,1,minimum wage 7.25/hr,2,-7,1,60,1,0,2,-7,1,15,2,-7,2,-7,3,-7,2,-7,2,-7,-7,-7,-7,-7,0,1,1,0,0,0,0,0,0,-7,1,0,1,0,0,0,0,-7,1,1,1,23,1,1,1,1,2,-7,-7, ,1,1,1,52,1,1,2,-7,1,1,2,-7,2,-7,-7,-7,2, ,-7,-7,-7,3,0,1,1,1,1,1,0,State Education authorities,1,Brain injuries,Not sure how public employment service system fits?
